MES;DIA;HORA;PROVINCIA;CANTÓN;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
JULIO;MIÉRCOLES;11:00 A 11:59;PICHINCHA;QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;DAÑOS MECÁNICOS
JULIO;MIÉRCOLES;11:00 A 11:59;LOJA;LOJA;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;12:00 A 12:59;ESMERALDAS;ESMERALDAS;URBANA;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;12:00 A 12:59;PICHINCHA;QUITO;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;12:00 A 12:59;TUNGURAHUA;AMBATO;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;13:00 A 13:59;PICHINCHA;QUITO;URBANA;0;10;10;CHOQUES;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;13:00 A 13:59;GUAYAS;MILAGRO;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;13:00 A 13:59;PICHINCHA;QUITO;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;13:00 A 13:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;13:00 A 13:59;GUAYAS;SAMBORONDON;RURAL;0;1;1;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;14:00 A 14:59;GUAYAS;DURAN;URBANA;1;6;7;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;14:00 A 14:59;TUNGURAHUA;AMBATO;RURAL;0;1;1;ATROPELLOS;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;15:00 A 15:59;PICHINCHA;MEJIA;URBANA;0;0;0;CHOQUES;EMBRIAGUEZ O DROGA
